@W: MF499 |Found issues with constraints. Please check report file C:\work\SSD\laddercard\fpga\ladder_fpga_v0e\rev_1\ladder_fpga_scck.rpt.
@W: FA279 |Inconsistent Quartus device library version: Verilog/VHDL compiled using quartus_II101 device library, but clearbox version is quartus_II121.
@W: FA401 |Found flip-flop with unsupported asynchronous set. Implemented set functionality by creating a latch.
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_bypass inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x1e inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x1d inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x1c inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x1b inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x1a inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x19 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x18 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x17 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x16 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x15 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x14 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x13 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x12 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x11 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x10 inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x0f inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x0e inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x0d inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
@W: BN393 :"c:\work\ssd\laddercard\fpga\ladder_fpga_v0e\ladder_fpga.vhd":749:2:749:32|Resolving multiple drivers on net fibre_tx_disable, connecting output pin:sc_updateDR_0x0c inst:COMP_ladder_fpga_SC_TAP_CONTROL of work.tap_control(a) to fibre_tx_disable
